<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;40
GAZP;0;240508;095936;154.21;20
GAZP;0;240508;095936;154.21;80
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;60
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;20
GAZP;0;240508;095936;154.21;30
GAZP;0;240508;095936;154.21;30
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;350
GAZP;0;240508;095936;154.21;30
GAZP;0;240508;095936;154.21;50
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;270
GAZP;0;240508;095936;154.21;350
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;70
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;140
GAZP;0;240508;095936;154.21;30
GAZP;0;240508;095936;154.21;120
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;60
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;30
GAZP;0;240508;095936;154.21;580
GAZP;0;240508;095936;154.21;70
GAZP;0;240508;095936;154.21;20
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;20
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;130
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;110
GAZP;0;240508;095936;154.21;30
GAZP;0;240508;095936;154.21;290
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;20
GAZP;0;240508;095936;154.21;300
GAZP;0;240508;095936;154.21;100
GAZP;0;240508;095936;154.21;60
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;60
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;510
GAZP;0;240508;095936;154.21;20
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;30
GAZP;0;240508;095936;154.21;100
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;20
GAZP;0;240508;095936;154.21;1460
GAZP;0;240508;095936;154.21;200
GAZP;0;240508;095936;154.21;30
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;290
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;90
GAZP;0;240508;095936;154.21;20
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;40
GAZP;0;240508;095936;154.21;160
GAZP;0;240508;095936;154.21;60
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;50
GAZP;0;240508;095936;154.21;130
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;10
GAZP;0;240508;095936;154.21;20
GAZP;0;240508;095936;154.21;200
GAZP;0;240508;095936;154.21;500
GAZP;0;240508;095936;154.21;500
GAZP;0;240508;095936;154.21;20
GAZP;0;240508;095936;154.21;200
GAZP;0;240508;100000;154.22;350
GAZP;0;240508;100000;154.23;650
GAZP;0;240508;100000;154.23;1000
GAZP;0;240508;100000;154.22;300
GAZP;0;240508;100000;154.22;90
GAZP;0;240508;100000;154.23;60
GAZP;0;240508;100000;154.24;140
GAZP;0;240508;100001;154.25;10
GAZP;0;240508;100001;154.25;90
GAZP;0;240508;100001;154.24;110
GAZP;0;240508;100001;154.24;390
GAZP;0;240508;100001;154.24;100
GAZP;0;240508;100002;154.25;50
GAZP;0;240508;100002;154.25;30
GAZP;0;240508;100002;154.25;20
GAZP;0;240508;100002;154.25;100
GAZP;0;240508;100002;154.25;100
GAZP;0;240508;100002;154.25;1480
GAZP;0;240508;100002;154.26;120
GAZP;0;240508;100003;154.3;500
GAZP;0;240508;100003;154.3;340
GAZP;0;240508;100003;154.3;300
GAZP;0;240508;100003;154.33;2040
GAZP;0;240508;100003;154.35;20
GAZP;0;240508;100003;154.39;30
GAZP;0;240508;100003;154.39;100
GAZP;0;240508;100003;154.39;2000
GAZP;0;240508;100003;154.39;50
GAZP;0;240508;100003;154.39;10
GAZP;0;240508;100003;154.39;400
GAZP;0;240508;100003;154.4;2860
GAZP;0;240508;100003;154.42;1350
GAZP;0;240508;100003;154.41;300
GAZP;0;240508;100003;154.41;300
GAZP;0;240508;100003;154.4;100
GAZP;0;240508;100003;154.4;100
GAZP;0;240508;100003;154.41;100
GAZP;0;240508;100003;154.41;100
GAZP;0;240508;100003;154.41;1240
GAZP;0;240508;100003;154.41;160
GAZP;0;240508;100003;154.41;100
GAZP;0;240508;100003;154.41;40
GAZP;0;240508;100003;154.41;60
GAZP;0;240508;100003;154.41;100
GAZP;0;240508;100003;154.41;100
GAZP;0;240508;100003;154.42;100
GAZP;0;240508;100003;154.42;100
GAZP;0;240508;100004;154.42;70
GAZP;0;240508;100004;154.4;20
GAZP;0;240508;100004;154.38;30
GAZP;0;240508;100004;154.42;470
GAZP;0;240508;100004;154.42;10
GAZP;0;240508;100004;154.36;240
GAZP;0;240508;100004;154.42;10
GAZP;0;240508;100004;154.42;100
GAZP;0;240508;100004;154.42;120
GAZP;0;240508;100005;154.42;50
GAZP;0;240508;100005;154.42;10
GAZP;0;240508;100005;154.36;230
GAZP;0;240508;100005;154.42;10
GAZP;0;240508;100005;154.42;100
GAZP;0;240508;100005;154.42;30
GAZP;0;240508;100005;154.43;10
GAZP;0;240508;100005;154.43;110
GAZP;0;240508;100005;154.43;10
GAZP;0;240508;100005;154.43;80
GAZP;0;240508;100005;154.43;10
GAZP;0;240508;100005;154.42;30
GAZP;0;240508;100005;154.42;10
GAZP;0;240508;100005;154.43;10
GAZP;0;240508;100005;154.42;40
GAZP;0;240508;100005;154.43;10
GAZP;0;240508;100005;154.43;10
GAZP;0;240508;100005;154.43;640
GAZP;0;240508;100005;154.43;10
GAZP;0;240508;100005;154.43;10
GAZP;0;240508;100005;154.42;20
GAZP;0;240508;100005;154.37;30
GAZP;0;240508;100005;154.43;10
GAZP;0;240508;100005;154.39;10
GAZP;0;240508;100005;154.35;60
GAZP;0;240508;100005;154.42;10
GAZP;0;240508;100005;154.42;10
GAZP;0;240508;100005;154.42;30
GAZP;0;240508;100005;154.42;10
GAZP;0;240508;100005;154.42;10
GAZP;0;240508;100005;154.42;230
GAZP;0;240508;100005;154.42;20
GAZP;0;240508;100005;154.43;10
GAZP;0;240508;100005;154.42;100
GAZP;0;240508;100006;154.42;100
GAZP;0;240508;100006;154.42;10
GAZP;0;240508;100006;154.42;20
GAZP;0;240508;100006;154.32;10
GAZP;0;240508;100006;154.43;80
GAZP;0;240508;100006;154.43;300
GAZP;0;240508;100006;154.44;70
GAZP;0;240508;100006;154.44;230
GAZP;0;240508;100006;154.44;220
GAZP;0;240508;100006;154.44;10
GAZP;0;240508;100006;154.44;10
GAZP;0;240508;100006;154.34;10
GAZP;0;240508;100006;154.44;10
GAZP;0;240508;100006;154.34;50
GAZP;0;240508;100006;154.44;10
GAZP;0;240508;100006;154.34;10
GAZP;0;240508;100006;154.44;40
GAZP;0;240508;100006;154.45;10
GAZP;0;240508;100006;154.45;40
GAZP;0;240508;100006;154.34;230
GAZP;0;240508;100006;154.33;210
GAZP;0;240508;100006;154.45;10
GAZP;0;240508;100006;154.33;10
GAZP;0;240508;100006;154.45;10
GAZP;0;240508;100006;154.33;10
GAZP;0;240508;100006;154.33;10
GAZP;0;240508;100006;154.44;10
GAZP;0;240508;100006;154.44;10
GAZP;0;240508;100006;154.44;10
GAZP;0;240508;100006;154.34;10
GAZP;0;240508;100006;154.44;100
GAZP;0;240508;100006;154.44;10
GAZP;0;240508;100006;154.37;10
GAZP;0;240508;100006;154.44;10
GAZP;0;240508;100006;154.37;20
GAZP;0;240508;100006;154.44;10
GAZP;0;240508;100006;154.44;270
GAZP;0;240508;100006;154.45;540
GAZP;0;240508;100006;154.45;160
GAZP;0;240508;100006;154.46;220
GAZP;0;240508;100006;154.44;10
GAZP;0;240508;100006;154.44;10
GAZP;0;240508;100006;154.37;10
GAZP;0;240508;100006;154.44;20
GAZP;0;240508;100006;154.44;10
GAZP;0;240508;100006;154.44;10
GAZP;0;240508;100006;154.44;10
GAZP;0;240508;100006;154.45;10
GAZP;0;240508;100006;154.37;30
GAZP;0;240508;100007;154.37;10
GAZP;0;240508;100007;154.45;10
GAZP;0;240508;100007;154.45;10
GAZP;0;240508;100007;154.37;220
GAZP;0;240508;100007;154.36;150
GAZP;0;240508;100007;154.35;1110
GAZP;0;240508;100007;154.44;100
GAZP;0;240508;100007;154.34;280
GAZP;0;240508;100007;154.44;10
GAZP;0;240508;100007;154.37;10
GAZP;0;240508;100007;154.45;10
GAZP;0;240508;100007;154.48;40
GAZP;0;240508;100007;154.47;10
GAZP;0;240508;100007;154.47;100
GAZP;0;240508;100007;154.47;10
GAZP;0;240508;100007;154.47;10
GAZP;0;240508;100007;154.33;40
GAZP;0;240508;100007;154.33;30
GAZP;0;240508;100007;154.47;10
GAZP;0;240508;100007;154.47;10
GAZP;0;240508;100007;154.31;10
GAZP;0;240508;100007;154.47;10
GAZP;0;240508;100007;154.47;10
GAZP;0;240508;100007;154.31;170
GAZP;0;240508;100008;154.47;10
GAZP;0;240508;100008;154.31;10
GAZP;0;240508;100008;154.47;10
GAZP;0;240508;100008;154.47;10
GAZP;0;240508;100008;154.47;10
GAZP;0;240508;100008;154.47;10
GAZP;0;240508;100008;154.31;60
GAZP;0;240508;100008;154.31;100
GAZP;0;240508;100008;154.47;10
GAZP;0;240508;100008;154.47;10
GAZP;0;240508;100008;154.47;10
GAZP;0;240508;100008;154.35;300
GAZP;0;240508;100008;154.35;700
GAZP;0;240508;100008;154.36;10
GAZP;0;240508;100008;154.47;10
GAZP;0;240508;100008;154.47;10
GAZP;0;240508;100008;154.36;10
GAZP;0;240508;100008;154.47;10
GAZP;0;240508;100008;154.47;10
GAZP;0;240508;100010;154.46;100
GAZP;0;240508;100010;154.39;300
GAZP;0;240508;100010;154.36;580
GAZP;0;240508;100010;154.36;520
GAZP;0;240508;100010;154.38;70
GAZP;0;240508;100010;154.47;30
GAZP;0;240508;100010;154.47;10
GAZP;0;240508;100011;154.47;100
GAZP;0;240508;100011;154.47;100
GAZP;0;240508;100011;154.47;10
GAZP;0;240508;100011;154.38;170
GAZP;0;240508;100011;154.47;100
GAZP;0;240508;100012;154.47;100
GAZP;0;240508;100012;154.37;300
GAZP;0;240508;100012;154.37;380
GAZP;0;240508;100012;154.36;1320
GAZP;0;240508;100012;154.47;10
GAZP;0;240508;100012;154.47;1000
GAZP;0;240508;100013;154.42;10
GAZP;0;240508;100013;154.47;90
GAZP;0;240508;100014;154.48;30
GAZP;0;240508;100016;154.47;100
GAZP;0;240508;100017;154.48;20
GAZP;0;240508;100017;154.48;10
GAZP;0;240508;100017;154.48;80
GAZP;0;240508;100018;154.48;70
GAZP;0;240508;100020;154.47;250
GAZP;0;240508;100020;154.4;10
GAZP;0;240508;100020;154.4;50
GAZP;0;240508;100021;154.47;100
GAZP;0;240508;100021;154.47;20
GAZP;0;240508;100021;154.47;20
GAZP;0;240508;100021;154.4;240
GAZP;0;240508;100021;154.39;30
GAZP;0;240508;100022;154.47;100
GAZP;0;240508;100022;154.47;60
GAZP;0;240508;100023;154.47;100
GAZP;0;240508;100023;154.46;10
GAZP;0;240508;100024;154.46;40
GAZP;0;240508;100024;154.47;40
GAZP;0;240508;100024;154.48;20
GAZP;0;240508;100024;154.47;100
GAZP;0;240508;100025;154.4;10
GAZP;0;240508;100025;154.4;100
GAZP;0;240508;100025;154.4;100
GAZP;0;240508;100025;154.4;90
GAZP;0;240508;100025;154.41;100
GAZP;0;240508;100025;154.47;10
GAZP;0;240508;100026;154.41;100
GAZP;0;240508;100026;154.41;300
GAZP;0;240508;100026;154.41;1000
GAZP;0;240508;100026;154.41;1000
GAZP;0;240508;100026;154.41;100
GAZP;0;240508;100026;154.47;100
GAZP;0;240508;100026;154.47;100
GAZP;0;240508;100026;154.47;1830
GAZP;0;240508;100026;154.48;30
GAZP;0;240508;100026;154.48;10
GAZP;0;240508;100026;154.48;500
GAZP;0;240508;100026;154.48;10
GAZP;0;240508;100026;154.48;1450
GAZP;0;240508;100026;154.49;10
GAZP;0;240508;100026;154.49;160
GAZP;0;240508;100026;154.49;100
GAZP;0;240508;100026;154.49;100
GAZP;0;240508;100026;154.49;100
GAZP;0;240508;100026;154.49;100
GAZP;0;240508;100026;154.49;100
GAZP;0;240508;100026;154.49;100
GAZP;0;240508;100026;154.48;100
GAZP;0;240508;100026;154.48;300
GAZP;0;240508;100026;154.48;100
GAZP;0;240508;100026;154.49;100
GAZP;0;240508;100026;154.49;100
GAZP;0;240508;100026;154.49;40
GAZP;0;240508;100026;154.49;10
GAZP;0;240508;100026;154.49;10
GAZP;0;240508;100026;154.49;40
GAZP;0;240508;100026;154.49;100
GAZP;0;240508;100026;154.49;100
GAZP;0;240508;100026;154.49;100
GAZP;0;240508;100026;154.49;100
GAZP;0;240508;100026;154.5;70
GAZP;0;240508;100026;154.5;10
GAZP;0;240508;100026;154.5;10
GAZP;0;240508;100026;154.5;10
GAZP;0;240508;100026;154.5;100
GAZP;0;240508;100026;154.5;100
GAZP;0;240508;100026;154.5;90
GAZP;0;240508;100026;154.5;10
GAZP;0;240508;100026;154.5;20
GAZP;0;240508;100026;154.5;10
GAZP;0;240508;100026;154.5;10
GAZP;0;240508;100026;154.5;60
GAZP;0;240508;100026;154.5;100
GAZP;0;240508;100026;154.48;300
GAZP;0;240508;100026;154.5;100
GAZP;0;240508;100026;154.5;100
GAZP;0;240508;100026;154.48;100
GAZP;0;240508;100026;154.48;300
GAZP;0;240508;100026;154.48;300
GAZP;0;240508;100027;154.48;10
GAZP;0;240508;100027;154.48;30
GAZP;0;240508;100027;154.47;10
GAZP;0;240508;100027;154.47;10
GAZP;0;240508;100027;154.48;40
GAZP;0;240508;100029;154.48;50
GAZP;0;240508;100030;154.47;20
GAZP;0;240508;100030;154.47;60
GAZP;0;240508;100030;154.47;60
GAZP;0;240508;100030;154.48;200
GAZP;0;240508;100031;154.48;200
GAZP;0;240508;100031;154.48;1290
GAZP;0;240508;100035;154.48;200
GAZP;0;240508;100035;154.48;10
GAZP;0;240508;100035;154.47;10
GAZP;0;240508;100035;154.47;30
GAZP;0;240508;100035;154.47;10
GAZP;0;240508;100035;154.47;10
GAZP;0;240508;100036;154.47;1360
GAZP;0;240508;100037;154.46;10
GAZP;0;240508;100037;154.45;30
GAZP;0;240508;100039;154.45;10
GAZP;0;240508;100039;154.46;10
GAZP;0;240508;100039;154.46;10
GAZP;0;240508;100039;154.46;10
GAZP;0;240508;100039;154.45;460
GAZP;0;240508;100039;154.45;100
GAZP;0;240508;100039;154.46;100
GAZP;0;240508;100039;154.46;100
GAZP;0;240508;100039;154.45;10
GAZP;0;240508;100040;154.45;290
GAZP;0;240508;100041;154.45;10
GAZP;0;240508;100041;154.45;290
GAZP;0;240508;100041;154.46;10
GAZP;0;240508;100041;154.45;20
GAZP;0;240508;100042;154.41;60
GAZP;0;240508;100043;154.41;40
GAZP;0;240508;100043;154.41;30
GAZP;0;240508;100043;154.45;10
GAZP;0;240508;100044;154.45;10
GAZP;0;240508;100044;154.45;10
GAZP;0;240508;100045;154.45;100
GAZP;0;240508;100045;154.45;90
GAZP;0;240508;100045;154.45;10
GAZP;0;240508;100048;154.45;10
GAZP;0;240508;100048;154.45;10
GAZP;0;240508;100050;154.41;70
GAZP;0;240508;100050;154.4;100
GAZP;0;240508;100050;154.4;2830
GAZP;0;240508;100051;154.4;1060
GAZP;0;240508;100051;154.4;30
GAZP;0;240508;100052;154.44;20
GAZP;0;240508;100053;154.44;40
GAZP;0;240508;100054;154.4;20
GAZP;0;240508;100055;154.44;690
GAZP;0;240508;100056;154.41;10
GAZP;0;240508;100056;154.4;70
GAZP;0;240508;100057;154.4;990
GAZP;0;240508;100057;154.4;1000
GAZP;0;240508;100057;154.39;300
GAZP;0;240508;100057;154.38;10
GAZP;0;240508;100057;154.38;2030
GAZP;0;240508;100057;154.35;250
GAZP;0;240508;100057;154.34;250
GAZP;0;240508;100057;154.34;1000
GAZP;0;240508;100057;154.34;1950
GAZP;0;240508;100057;154.34;2000
GAZP;0;240508;100057;154.33;220
GAZP;0;240508;100057;154.33;10
GAZP;0;240508;100059;154.43;300
GAZP;0;240508;100059;154.44;700
GAZP;0;240508;100059;154.35;110
GAZP;0;240508;100059;154.43;10
GAZP;0;240508;100100;154.43;100
GAZP;0;240508;100101;154.43;100
GAZP;0;240508;100101;154.43;90
GAZP;0;240508;100101;154.44;100
GAZP;0;240508;100101;154.44;100
GAZP;0;240508;100102;154.44;100
GAZP;0;240508;100103;154.44;140
GAZP;0;240508;100103;154.44;520
GAZP;0;240508;100103;154.44;300
GAZP;0;240508;100103;154.44;190
GAZP;0;240508;100103;154.45;170
GAZP;0;240508;100103;154.44;10
GAZP;0;240508;100103;154.43;100
GAZP;0;240508;100103;154.38;10
GAZP;0;240508;100103;154.37;190
GAZP;0;240508;100103;154.37;300
GAZP;0;240508;100103;154.36;10
GAZP;0;240508;100103;154.34;630
GAZP;0;240508;100103;154.34;250
GAZP;0;240508;100103;154.33;20
GAZP;0;240508;100103;154.33;2030
GAZP;0;240508;100103;154.33;6520
GAZP;0;240508;100103;154.32;250
GAZP;0;240508;100103;154.31;250
GAZP;0;240508;100103;154.31;1000
GAZP;0;240508;100103;154.3;1000
GAZP;0;240508;100103;154.3;250
GAZP;0;240508;100103;154.3;10
GAZP;0;240508;100103;154.3;2000
GAZP;0;240508;100103;154.29;10
GAZP;0;240508;100103;154.29;1000
GAZP;0;240508;100103;154.29;250
GAZP;0;240508;100103;154.28;430
GAZP;0;240508;100104;154.39;90
GAZP;0;240508;100104;154.32;20
GAZP;0;240508;100104;154.4;10
GAZP;0;240508;100105;154.4;290
GAZP;0;240508;100105;154.41;30
GAZP;0;240508;100107;154.36;10
GAZP;0;240508;100108;154.36;20
GAZP;0;240508;100108;154.36;10
GAZP;0;240508;100108;154.36;100
GAZP;0;240508;100111;154.36;10
GAZP;0;240508;100111;154.37;100
GAZP;0;240508;100115;154.36;10
GAZP;0;240508;100117;154.37;20
GAZP;0;240508;100119;154.36;40
GAZP;0;240508;100119;154.36;100
GAZP;0;240508;100119;154.33;130
GAZP;0;240508;100119;154.33;180
GAZP;0;240508;100119;154.32;20
GAZP;0;240508;100119;154.31;90
GAZP;0;240508;100119;154.3;300
GAZP;0;240508;100119;154.3;110
GAZP;0;240508;100119;154.29;2040
